id_offre,EducationLevel,Sectors,Title,skills,class
182,Bac+3;,Banque;assurance;finances;,"Agents Help Desk",vente,"De 2 à 5 ans"
183,"Bac+5 et plus;",Banque;assurance;finances;,"Commercial Service Interbancaire B2B à Marrakech","prospection,vente","De 2 à 5 ans"
184,Bac+3;,"Transports;logistique;services postaux;","Chargée Commerciale","marketing,vente,communication","3 ans"
185,Bac+2;,"Transports;logistique;services postaux;","Contrôleur des Inventaires - Had Soualem","stocks,distribution","3 ans"
186,Bac+2;,"Transports;logistique;services postaux;","Responsable des Livraisons - Had Soualem",acheminement,"3 ans"
187,Bac+2;,Banque;assurance;finances;,"Charge(e) de l'Administration Réseau",BDD,"De 2 à 5 ans"
188,Bac+3;,Banque;assurance;finances;,"Chargés D'assistance - Assurances","assistance,appels entrants,secrétariat,assistanat","3 ans"
189,"Bac+5 et plus;",Hôtellerie;restauration;Tourisme;loisirs;,"Directeur Commercial","vente,marketing,communication","De 5 à 10 ans"
190,Bac+2;,Hôtellerie;restauration;,"Chef de Partie (cuisine)","cuisine gastronomique,cuisine,restauration,tourisme,dressage","De 2 à 5 ans"
191,Bac+2;,Hôtellerie;restauration;Intérim;recrutement;,"Superviseur Stewarding","hôtellerie,tourisme,cuisine","De 5 à 10 ans"
192,"Bac+5 et plus;",Banque;assurance;finances;,"Contrôleur de Gestion","audit,audit comptable,gestion d´entreprise,comptabilité,gestion","3 ans"
193,Bac+2;,Hôtellerie;restauration;Intérim;recrutement;,Majordome,"hôtellerie,tourisme","De 5 à 10 ans"
194,Bac+3;,Industrie;production;fabrication;autres;,"Technicien Approvisionnement à Berrechid","DU,gestion logistique,manutention,production,stockage,qualité,maintenance,stocks,transport","De 2 à 5 ans"
195,Bac;,Hôtellerie;restauration;Intérim;recrutement;,Barman,tourisme,"De 2 à 5 ans"
196,Bac+3;,Immobilier;architecture;urbanisme;,"Commercial(e) Immobilier à Berrechid","vente,négociation","De 2 à 5 ans"
197,"Bac+5 et plus;","Informatique;SSII;Internet;Ingénierie;études développement;","Ingénieur Senior en Systèmes et Infrastructures IT","MICROSOFT,LINUX,SSO","De 5 à 10 ans"
198,Bac+2;,Industrie;production;fabrication;autres;,"Assistante Trésorerie / Comptable","qualité,maintenance","De 2 à 5 ans"
199,Bac+2;,Banque;assurance;finances;,"Agent Clientèle / Lahraouyine","gestion des réclamations,commercialisation,vente","De 2 à 5 ans"
